import time: self [us] | cumulative | imported package
import time:        90 |         90 | winreg
import time:       200 |        200 |   _io
import time:        33 |         33 |   marshal
import time:       176 |        176 |   nt
import time:       304 |        712 | _frozen_importlib_external
import time:       798 |        798 |   time
import time:        99 |        896 | zipimport
import time:        52 |         52 |     _codecs
import time:       274 |        325 |   codecs
import time:      1145 |       1145 |   encodings.aliases
import time:      1861 |       3331 | encodings
import time:       584 |        584 | encodings.utf_8
import time:        50 |         50 | _signal
import time:        34 |         34 |     _abc
import time:       104 |        137 |   abc
import time:       118 |        254 | io
import time:       110 |        110 |       _stat
import time:       114 |        224 |     stat
import time:      1138 |       1138 |     _collections_abc
import time:        53 |         53 |       genericpath
import time:       208 |        208 |       _winapi
import time:       110 |        371 |     ntpath
import time:       385 |       2116 |   os
import time:        69 |         69 |   _sitebuiltins
import time:       933 |        933 |   types
import time:      1027 |       1027 |       warnings
import time:       630 |       1657 |     importlib
import time:       644 |        644 |     importlib._abc
import time:       146 |        146 |           itertools
import time:       557 |        557 |           keyword
import time:       103 |        103 |             _operator
import time:       990 |       1093 |           operator
import time:       677 |        677 |           reprlib
import time:        79 |         79 |           _collections
import time:      1372 |       3923 |         collections
import time:       123 |        123 |         _functools
import time:      1377 |       5422 |       functools
import time:       674 |        674 |       _weakrefset
import time:      1101 |       7197 |     threading
import time:       166 |       9662 |   importlib.util
import time:        75 |         75 |   importlib.machinery
import time:      1219 |       1219 |   _distutils_hack
import time:       767 |        767 |     pywin32_system32
import time:      1276 |       2043 |   pywin32_bootstrap
import time:       415 |        415 |   sitecustomize
import time:       390 |        390 |   usercustomize
import time:     15793 |      32712 | site
import time:      1810 |       1810 |       enum
import time:        85 |         85 |         _sre
import time:       988 |        988 |           re._constants
import time:       744 |       1731 |         re._parser
import time:       673 |        673 |         re._casefix
import time:      1017 |       3505 |       re._compiler
import time:       686 |        686 |       copyreg
import time:      1125 |       7125 |     re
import time:      1167 |       1167 |     gettext
import time:      1652 |       9943 |   argparse
import time:       678 |        678 |       collections.abc
import time:      1249 |       1249 |       contextlib
import time:        72 |         72 |       _typing
import time:      4706 |       6704 |     typing
import time:       109 |        109 |               mmap
import time:      1563 |       1672 |             smmap.util
import time:      1711 |       3383 |           smmap.mman
import time:      1383 |       1383 |           smmap.buf
import time:      2461 |       7226 |         smmap
import time:       152 |        152 |             binascii
import time:        82 |         82 |             errno
import time:     10724 |      10724 |               _hashlib
import time:       104 |        104 |               _blake2
import time:       776 |      11604 |             hashlib
import time:       125 |        125 |               _struct
import time:       909 |       1034 |             struct
import time:      1326 |       1326 |             gitdb.const
import time:      1460 |      15654 |           gitdb.util
import time:        99 |         99 |             zlib
import time:      1237 |       1237 |               gitdb.utils
import time:      1279 |       2515 |             gitdb.utils.encoding
import time:       689 |        689 |             gitdb.typ
import time:       483 |        483 |               gitdb_speedups
import time:        31 |        514 |             gitdb_speedups._perf
import time:      1980 |       5796 |           gitdb.fun
import time:      2001 |      23451 |         gitdb.base
import time:      1092 |       1092 |             gitdb.exc
import time:      1581 |       2672 |           gitdb.db.base
import time:       551 |        551 |                 gitdb_speedups
import time:        54 |        605 |               gitdb_speedups._perf
import time:      6686 |       7291 |             gitdb.stream
import time:       437 |        437 |                     posix
import time:        73 |        509 |                   posixpath
import time:       602 |       1110 |                 fnmatch
import time:       705 |        705 |                   _compression
import time:      1150 |       1150 |                   _bz2
import time:       673 |       2527 |                 bz2
import time:      1274 |       1274 |                   _lzma
import time:       728 |       2002 |                 lzma
